SM Group,SM Title,SM Description,SM Type,Niveau,Område,Storkunde,Adresse,By,Plads navn,post nr,KodeNøgle,Strømiddel,App,Ejendomskontakt,Dage,Status,title,Bemærkning,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
VIP,50,,Marker,VIP,SilkeborgRanders,snevagten andre,Nørrevænget 49,Silkeborg,"Nørrevænget 49, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,50,,,#FFA500,56.1860164,9.5474012,"56.1860164,9.5474012","sm421e83a5",List29/10-2025,VIP
VIP,54,,Marker,VIP,SilkeborgRanders,uno-x,Viborgvej 12,Silkeborg,"Viborgvej 12, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,54,,,#FFA500,56.18515,9.5437592,"56.18515,9.5437592","sm674dafda",List29/10-2025,VIP
VIP,57,,Marker,VIP,SilkeborgRanders,Lidl,Christian 8.s  vej 8A,Silkeborg,"Christian 8.s  vej 8A, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,57,,,#FFA500,56.1660822,9.5518843,"56.1660822,9.5518843","sme06fcf6b",List29/10-2025,VIP
VIP,63,,Marker,VIP,SilkeborgRanders,uno-x,Skærbækvej 3,Silkeborg,"Skærbækvej 3, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,63,,,#FFA500,56.181557474,9.644173814,"56.181557474,9.644173814","sm356700f5",List29/10-2025,VIP
VIP,73,,Marker,VIP,SilkeborgRanders,uno-x,Stagehøjvej 2a,Silkeborg,"Stagehøjvej 2a, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,73,,,#FFA500,56.186636,9.5731893,"56.186636,9.5731893","sm1c453962",List29/10-2025,VIP
VIP,77,,Marker,VIP,SilkeborgRanders,falck,Ny Tilemannsvej 2,Hammel,"Ny Tilemannsvej 2, 8450 Hammel",8450,0,0,0,0,AlleDage,Aktiv,77,,,#FFA500,56.2575868,9.8592114,"56.2575868,9.8592114","smaf599662",List29/10-2025,VIP
VIP,101,,Marker,VIP,SilkeborgRanders,Uno-x,Søndergade 16,Kjellerup,Søndergade 16 Kjellerup,8620,0,0,IngenApp,0,AlleDage,Aktiv,101,,,#FFA500,56.2872639,9.4309326,"56.2872639,9.4309326","sm9316cbcf",List29/10-2025,VIP
VIP,102,,Marker,VIP,SilkeborgRanders,uno-x,Viborgvej 87,Silkeborg,Viborgvej 87 Uno-x Skægkær,8600,0,0,IngenApp,0,AlleDage,Aktiv,102,,,#FFA500,56.212429,9.5026206,"56.212429,9.5026206","smce98fe45",List29/10-2025,VIP
VIP,109,,Marker,VIP,SilkeborgRanders,uno-x,Søndergade 56,Gjern,"Søndergade 56, 8883 Gjern",8883,0,0,0,0,AlleDage,Aktiv,109,,,#FFA500,56.22081,9.7429317,"56.22081,9.7429317","sm58b6bb1f",List29/10-2025,VIP
VIP,145,,Marker,VIP,SilkeborgRanders,Spare kassen Kronjylland,Vestergade 25,Silkeborg,Vestergade 25 Sparekassen Kronjylland Silkeborg,8600,0,0,SkyHost,0,AlleDage,Aktiv,145,,,#FFA500,56.1683588,9.5462474,"56.1683588,9.5462474","smbf0355dc",List29/10-2025,VIP
VIP,147,,Marker,VIP,SilkeborgRanders,Jyske bank,vestergade 8,Silkeborg,Vestergade 8-16 mf Jyske bank Silkeborg,8600,0,0,SkyHost,0,AlleDage,Aktiv,147,,,#FFA500,56.1690716,9.5472704,"56.1690716,9.5472704","sm82c0307d",List29/10-2025,VIP
VIP,999,,Marker,VIP,Administativ,Ingen,Nørre hvamvej 8,Holstebro,Administrativ prik Vip alle,7500,0,0,0,s,AlleDage,Aktiv,999,,,#FFA500,56.414704,8.7314149,"56.414704,8.7314149","sm27c1ef0a",List29/10-2025,VIP
VIP,3,,Marker,VIP,SilkeborgRanders,Silkeborg forsyning,Tietgensvej 3,Silkeborg,Tiegensvej 3 SilkeborgForsyning,8600,0,Vejsalt,SkyHost,0,AlleDage,,3,KUNHverdage,,#FFA500,56.1992952,9.5777042,"56.1992952,9.5777042","smd427c0a3",List29/10-2025,VIP
VIP,65,,Marker,VIP,SilkeborgRanders,Postnord,Kejlstrupvej 34,Silkeborg,Kejlstrupvej 34 postnord 8600 Silkeborg,8600,"nøglebox 0086, husk at aflevere",0,0,0,AlleDage,,65,,,#FFA500,56.1804724,9.5566605,"56.1804724,9.5566605","smcc0b70f3",List29/10-2025,VIP
VIP,203,,Marker,VIP,SilkeborgRanders,GoCollectiv,Mørksøvej 5,Silkeborg,Mørksøvej 5 Gocoletive Silkeborg,8600,2202,Vejsalt,0,0,AlleDage,,203,,,#FFA500,56.1374679,9.5632328,"56.1374679,9.5632328","sm7d0b829b",List29/10-2025,VIP
VIP,159,,Marker,VIP,SilkeborgRanders,Elis,Fuglemosevej 1,Kjellerup,Fuglemosevej 1 Elis Kjellerup,8620,0,vejsalt,SkyHost,0,AlleDage,,159,,,#FFA500,56.28657619,9.423673423,"56.28657619,9.423673423","sm908cc873",List29/10-2025,VIP
VIP,142,,Marker,VIP,SilkeborgRanders,Velux,Industrivej 10,Østbirk,Industrivej 10-12 Velux Østbirk,8752,0,0,0,0,AlleDage,,142,,,#FFA500,55.968192992,9.745086093,"55.968192992,9.745086093","sme7ffa496",List29/10-2025,VIP
VIP,193,,Marker,VIP,SilkeborgRanders,Velux,Ryvej 21 B,Østbirk,Ryvej 21A-C Velux Østbrik,8752,0,0,0,0,KunHverdage,,193,,,#FFA500,55.970967092,9.742738796,"55.970967092,9.742738796","sm457cc134",List29/10-2025,VIP
VIP,194,,Marker,VIP,SilkeborgRanders,Velux,Østvej 2,Østbirk,Østvej 2 Velus Østbirk,8752,0,0,0,0,KunHverdage,,194,,,#FFA500,55.960142594,9.761907606,"55.960142594,9.761907606","sm4cba8e62",List29/10-2025,VIP
VIP,195,,Marker,VIP,SilkeborgRanders,Velux,Industrivej 19 A,Østbirk,Industrivej 19 A-D Velux Østbirk,8752,bom,0,0,0,KunHverdage,,195,,,#FFA500,55.969467599,9.740076279,"55.969467599,9.740076279","sm61aafaeb",List29/10-2025,VIP
VIP,197,,Marker,VIP,SilkeborgRanders,Velux,Rydalvej 2,Østbirk,Rydalvej 2 Velux Østbirk,8752,bom,0,0,0,KunHverdage,,197,Strandsten ved alle kanter. Hold afstand.,,#FFA500,55.973261776,9.735725495,"55.973261776,9.735725495","sm267552d1",List29/10-2025,VIP
VIP,198,,Marker,VIP,SilkeborgRanders,Velux,Gantrupvej 2,Østbirk,Gantrupvej 2 Velux Østbirk,8752,*8752,0,0,0,KunHverdage,,198,,,#FFA500,55.994005093,9.719648255,"55.994005093,9.719648255","sm92215f67",List29/10-2025,VIP
VIP,200,,Marker,VIP,SilkeborgRanders,Velux,Industrivej 7,Østbirk,Industrivej 7 Velux østbirk,8752,0,0,0,0,KunHverdage,,200,,,#FFA500,55.967401623,9.743713791,"55.967401623,9.743713791","sm09c9459d",List29/10-2025,VIP
VIP,201,,Marker,VIP,SilkeborgRanders,Velux,Ryvej 37,Østbirk,ryvej37 og 43 Velux Østbirk,8752,0,0,0,0,KunHverdage,,201,,,#FFA500,55.973530091,9.736221083,"55.973530091,9.736221083","sm73d27f82",List29/10-2025,VIP
Udkald på bestilling,999,,Marker,Udkald på bestilling,Administativ,Ingen,Nørre hvamvej 8,Holstebro,Administrativ prik Udkald på bestilling alle,7500,0,0,0,s,AlleDage,Aktiv,999,,,#EB00FF,56.414704,8.7314149,"56.414704,8.7314149","sm94574b75",List29/10-2025,Udkald på bestilling
Lav,1,,Marker,Lav,SilkeborgRanders,snevagten andre,Solsikkevænget 2,Silkeborg,Solsikkevænget 2 Holmsø Silkeborg,8600,0,Vejsalt,0,0,AlleDage,NyAktiv,1,kun vej og plads,,#FF0000,56.1834016,9.5556079,"56.1834016,9.5556079","sm5193c885",List29/10-2025,Lav
Lav,4,,Marker,Lav,SilkeborgRanders,A/s Bolig,Emilsvej 80,Silkeborg,Emilsvej 80 Bolig Silkeborg,8600,0,Vejsalt,0,0,AlleDage,NyAktiv,4,,,#FF0000,56.1883446,9.5062908,"56.1883446,9.5062908","sm9260acf5",List29/10-2025,Lav
Lav,7,,Marker,Lav,SilkeborgRanders,A/s Bolig,Bøgildhøjen 1,Silkeborg,Bøgildhøjen 1 Bolig Silkeborg,8600,0,Vejsalt,0,0,AlleDage,NyAktiv,7,,,#FF0000,56.1573258,9.5065087,"56.1573258,9.5065087","smc3171c8b",List29/10-2025,Lav
Lav,20,,Marker,Lav,SilkeborgRanders,snevagten andre,Røllikevej 5A,Them,"Røllikevej 5A, 8653 Them",8653,0,0,0,0,AlleDage,Aktiv,20,,,#FF0000,56.088748961,9.545712343,"56.088748961,9.545712343","sm2191b3c9",List29/10-2025,Lav
Lav,22,,Marker,Lav,SilkeborgRanders,Bostad,Vimmerbyvej 1,Silkeborg,Vimmerbyvej 1 Bostad Silkeborg,8600,0,0,0,0,AlleDage,Aktiv,22,Trapper og rapoer tages ikke,,#FF0000,56.1882988,9.5104156,"56.1882988,9.5104156","smefdcb3c7",List29/10-2025,Lav
Lav,29,,Marker,Lav,SilkeborgRanders,snevagten andre,Landskronavej 2,Silkeborg,"Landskronavej 2, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,29,,,#FF0000,56.1983725,9.6132674,"56.1983725,9.6132674","sm8819d754",List29/10-2025,Lav
Lav,32,,Marker,Lav,SilkeborgRanders,snevagten andre,Balle Husevej 1,Silkeborg,"Balle Husevej 1, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,32,,,#FF0000,56.1869915,9.5035597,"56.1869915,9.5035597","sm4d50310b",List29/10-2025,Lav
Lav,33,,Marker,Lav,SilkeborgRanders,snevagten andre,Overgårdsvænget 1,Silkeborg,"Overgårdsvænget 1, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,33,,,#FF0000,56.1545128,9.6933841,"56.1545128,9.6933841","sm1400c188",List29/10-2025,Lav
Lav,34,,Marker,Lav,SilkeborgRanders,snevagten andre,Rosmarinvej 1,Silkeborg,"Rosmarinvej 1, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,34,,,#FF0000,56.202523,9.600933,"56.202523,9.600933","sm2f6fb6bb",List29/10-2025,Lav
Lav,36,,Marker,Lav,SilkeborgRanders,snevagten andre,Gødvadgårdsvej 20,Silkeborg,"Gødvadgårdsvej 20-134, 1-7, 8600, Silkeborg, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,36,,,#FF0000,56.1990576,9.5947708,"56.1990576,9.5947708","sm14e0cc61",List29/10-2025,Lav
Lav,37,,Marker,Lav,SilkeborgRanders,snevagten andre,Dalgasgade 18,Silkeborg,"Dalgasgade 18, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,37,,,#FF0000,56.1634182,9.5316883,"56.1634182,9.5316883","smad197aab",List29/10-2025,Lav
Lav,53,,Marker,Lav,SilkeborgRanders,snevagten andre,Frederiksberggade 28,Silkeborg,"Frederiksberggade 28, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,53,,,#FF0000,56.1627247,9.550148,"56.1627247,9.550148","sm0d4aab15",List29/10-2025,Lav
Lav,55,,Marker,Lav,SilkeborgRanders,snevagten andre,Virklundvej 32,Silkeborg,"Virklundvej 32, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,55,,,#FF0000,56.1274472,9.5606586,"56.1274472,9.5606586","sm4d457d93",List29/10-2025,Lav
Lav,66,,Marker,Lav,SilkeborgRanders,snevagten andre,Amaliegade 29,Silkeborg,"Amaliegade 29, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,66,,,#FF0000,56.1650149,9.549976,"56.1650149,9.549976","sma17da26e",List29/10-2025,Lav
Lav,69,,Marker,Lav,SilkeborgRanders,snevagten andre,Gubsøvænget 1,Silkeborg,"Gubsøvænget 1, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,69,,,#FF0000,56.197282,9.5275835,"56.197282,9.5275835","sm5f873987",List29/10-2025,Lav
Lav,70,,Marker,Lav,SilkeborgRanders,snevagten andre,Langstrømpevej 1,Silkeborg,"Langstrømpevej 1, 8600 Silkeborg",8600,0,svalegange med urea,0,0,AlleDage,Aktiv,70,,,#FF0000,56.1944199,9.5174472,"56.1944199,9.5174472","sm1cc016e5",List29/10-2025,Lav
Lav,71,,Marker,Lav,SilkeborgRanders,snevagten andre,Helsingborgvej 1,Silkeborg,"Helsingborgvej 1, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,71,,,#FF0000,56.1936017,9.6161877,"56.1936017,9.6161877","smb3160345",List29/10-2025,Lav
Lav,72,,Marker,Lav,SilkeborgRanders,snevagten andre,Halmstadvej 2,Silkeborg,"Halmstadvej 2, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,72,,,#FF0000,56.1939042,9.6175048,"56.1939042,9.6175048","smc2cb7763",List29/10-2025,Lav
Lav,76,,Marker,Lav,SilkeborgRanders,snevagten andre,Bregnevej 1,Silkeborg,"Bregnevej 1-9, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,76,,,#FF0000,56.1862452,9.5582637,"56.1862452,9.5582637","sm7897208a",List29/10-2025,Lav
Lav,81,,Marker,Lav,SilkeborgRanders,snevagten andre,Anbækvej 123,Hammel,"Anbækvej 123, 8450 Hammel",8450,0,0,0,0,AlleDage,Aktiv,81,,,#FF0000,56.2351564,9.8557117,"56.2351564,9.8557117","smd4c7b1ef",List29/10-2025,Lav
Lav,83,,Marker,Lav,SilkeborgRanders,snevagten andre,Harevænget 1a,Hammel,"Harevænget 1A, 8450 Hammel",8450,0,0,0,0,AlleDage,Aktiv,83,,,#FF0000,56.2467749,9.8522187,"56.2467749,9.8522187","sm192c3644",List29/10-2025,Lav
Lav,84,,Marker,Lav,SilkeborgRanders,Cirkel K,Aalborgvej 29,Kjellerup,Aalborgvej 29 cirkelk Kjellerup,8620,0,0,IngenApp,0,AlleDage,Aktiv,84,,,#FF0000,56.2655942,9.3135435,"56.2655942,9.3135435","sm6b47a507",List29/10-2025,Lav
Lav,85,,Marker,Lav,SilkeborgRanders,Andre,Buskelundhøjen 130,Silkeborg,Buskelundhøjen 130 Silkeborg,8600,0,0,IngenApp,0,AlleDage,Aktiv,85,,,#FF0000,56.1796397,9.4951647,"56.1796397,9.4951647","sm3e7ed2dc",List29/10-2025,Lav
Lav,88,,Marker,Lav,SilkeborgRanders,Heimstaden,Christiansfeldvej 103,Silkeborg,Christiansfeldvej 103 Silkeborg,8600,0,0,IngenApp,0,AlleDage,Aktiv,88,,,#FF0000,56.1752967,9.4931906,"56.1752967,9.4931906","sm21d7aa7c",List29/10-2025,Lav
Lav,90,,Marker,Lav,SilkeborgRanders,F24,Horsensvej 6,Silkeborg,Horsensvej 6 F24 Silkeborg,8600,0,0,0,0,AlleDage,Aktiv,90,,,#FF0000,56.1411353,9.5592458,"56.1411353,9.5592458","sm9353e268",List29/10-2025,Lav
Lav,91,,Marker,Lav,SilkeborgRanders,Heimstaden,Funder Møllevej 101,Silkeborg,Funder Møllevej 101 Funder,8600,0,0,IngenApp,0,AlleDage,Aktiv,91,,,#FF0000,56.1450847,9.466041,"56.1450847,9.466041","sme471aa39",List29/10-2025,Lav
Lav,92,,Marker,Lav,SilkeborgRanders,Heimstaden,Herningvej 29A,Silkeborg,Herningvej 29a Silkeborg,8600,0,0,IngenApp,0,AlleDage,Aktiv,92,,,#FF0000,56.1549117,9.5072032,"56.1549117,9.5072032","smd0aa7641",List29/10-2025,Lav
Lav,97,,Marker,Lav,SilkeborgRanders,Heimstaden,Lysbrovænget 1,Silkeborg,Lysbrovænget 1 Silkeborg,8600,0,Vejsalt,IngenApp,0,AlleDage,Aktiv,97,Pas på kampestenene i rabaten,,#FF0000,56.1586258,9.5047353,"56.1586258,9.5047353","sm95aa0d56",List29/10-2025,Lav
Lav,98,,Marker,Lav,SilkeborgRanders,Heimstaden,Padborgvej 136,Silkeborg,Padborgvej 136 Silkeborg,8600,0,0,IngenApp,0,AlleDage,Aktiv,98,,,#FF0000,56.1722249,9.4943755,"56.1722249,9.4943755","smd95d5351",List29/10-2025,Lav
Lav,100,,Marker,Lav,SilkeborgRanders,Heimstaden,Skægkærtoften 20,Silkeborg,Skægkærtoften 20 Skægkær,8600,0,0,IngenApp,0,AlleDage,Aktiv,100,,,#FF0000,56.2142528,9.5044195,"56.2142528,9.5044195","smd36e2605",List29/10-2025,Lav
Lav,112,,Marker,Lav,SilkeborgRanders,snevagten andre,Smedens Hestesko 1,Thorsø,"Smedens Hestesko 1, 8881 Thorsø",8881,0,0,0,0,AlleDage,Aktiv,112,Lille maskine max 100 cm,,#FF0000,56.2999689,9.7842472,"56.2999689,9.7842472","sm1be0f9df",List29/10-2025,Lav
Lav,115,,Marker,Lav,SilkeborgRanders,snevagten andre,Lysbrolysningen 4,Silkeborg,Lysbrolysningen 4 Silkeborg,8600,0,0,IngenApp,0,AlleDage,Aktiv,115,Stil spand med låg samt salt ved trappe. der er stier,,#FF0000,56.1565123,9.5002781,"56.1565123,9.5002781","sm2ea84f5c",List29/10-2025,Lav
Lav,156,,Marker,Lav,SilkeborgRanders,snevagten andre,Christiansfeldvej 41,Silkeborg,Christiansfeldvej 41 Silkeborg,8600,0,0,0,0,AlleDage,Aktiv,156,,,#FF0000,56.1743877,9.4901538,"56.1743877,9.4901538","smc87e6c08",List29/10-2025,Lav
Lav,165,,Marker,Lav,SilkeborgRanders,snevagten andre,Bakkeborgtoften 2,Silkeborg,Bakkeborgtoften mf kun fortov Silkeborg,8600,0,Vejsalt,0,0,AlleDage,Aktiv,165,Køres kun en gang i døgnet,,#FF0000,56.2032033,9.6120903,"56.2032033,9.6120903","sm725ed3fb",List29/10-2025,Lav
Lav,166,,Marker,Lav,SilkeborgRanders,snevagten andre,Syrenvej 15,Them,Syrenvej 15 Them,8653,0,Vejsalt,IngenApp,0,AlleDage,Aktiv,166,,,#FF0000,56.0859587,9.5635936,"56.0859587,9.5635936","smb08145a8",List29/10-2025,Lav
Lav,176,,Marker,Lav,SilkeborgRanders,snevagten andre,Mølledamsgade 1,Silkeborg,"Mølledamsgade 1, 8600 Silkeborg",8600,0,0,0,0,AlleDage,NyAktiv,176,,,#FF0000,56.1788473,9.5527926,"56.1788473,9.5527926","sm96053cff",List29/10-2025,Lav
Lav,177,,Marker,Lav,SilkeborgRanders,N1,Toften 59,Bording,Toften 59 N1 Bording,7441,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,177,nej,,#FF0000,56.1444619,9.2842338,"56.1444619,9.2842338","sm7f6ebf28",List29/10-2025,Lav
Lav,178,,Marker,Lav,SilkeborgRanders,N1,Østre allè 36,Silkeborg,Østre allè 36 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,178,nej,,#FF0000,56.1778104,9.5716173,"56.1778104,9.5716173","sm82130a3b",List29/10-2025,Lav
Lav,179,,Marker,Lav,SilkeborgRanders,N1,Virklundvej 27d,Silkeborg,Virklundvej 27d N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,179,nej,,#FF0000,56.1277175,9.5612378,"56.1277175,9.5612378","sm313901e8",List29/10-2025,Lav
Lav,180,,Marker,Lav,SilkeborgRanders,N1,Vesterlundvej 42,Silkeborg,Vesterlundvej 42 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,180,nej,,#FF0000,56.1296239,9.5515023,"56.1296239,9.5515023","sm8f83c564",List29/10-2025,Lav
Lav,181,,Marker,Lav,SilkeborgRanders,N1,Solbakkevej 27b,Silkeborg,Solbakkevej 27b N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,181,nej,,#FF0000,56.1605121,9.5345328,"56.1605121,9.5345328","smb73eaba7",List29/10-2025,Lav
Lav,182,,Marker,Lav,SilkeborgRanders,N1,Slienvej 12,Silkeborg,Slienvej 12 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,182,nej,,#FF0000,56.1764465,9.521327,"56.1764465,9.521327","smbce36bfb",List29/10-2025,Lav
Lav,183,,Marker,Lav,SilkeborgRanders,N1,Kejlstrupvej 26,Silkeborg,Kejlstrupvej 26 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,183,nej,,#FF0000,56.1794684,9.5556839,"56.1794684,9.5556839","sm88e0af32",List29/10-2025,Lav
Lav,185,,Marker,Lav,SilkeborgRanders,N1,Højmarksvænget 33b,Silkeborg,Højmarksvænget 33b N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,185,nej,,#FF0000,56.1951423,9.5434567,"56.1951423,9.5434567","sm8edb93f9",List29/10-2025,Lav
Lav,186,,Marker,Lav,SilkeborgRanders,N1,Højmarkstoften 67b,Silkeborg,Højmarkstoften 67b N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,186,nej,,#FF0000,56.1956855,9.5535102,"56.1956855,9.5535102","sm9e9b07ab",List29/10-2025,Lav
Lav,187,,Marker,Lav,SilkeborgRanders,N1,Herningvej 1,Silkeborg,Herningvej 1 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,187,nej,,#FF0000,56.1640467,9.5277429,"56.1640467,9.5277429","smb69fcd76",List29/10-2025,Lav
Lav,188,,Marker,Lav,SilkeborgRanders,N1,Hedebyvej 6b,Silkeborg,Hedebyvej 6b N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,188,nej,,#FF0000,56.1794635,9.512152,"56.1794635,9.512152","sm4b1acf3b",List29/10-2025,Lav
Lav,190,,Marker,Lav,SilkeborgRanders,N1,Fynsgade 5,Silkeborg,Fynsgade 5 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,190,nej,,#FF0000,56.1754869,9.5464368,"56.1754869,9.5464368","sm2d32c13d",List29/10-2025,Lav
Lav,191,,Marker,Lav,SilkeborgRanders,N1,Askøvej 171,Silkeborg,Askøvej 171 N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,191,nej,,#FF0000,56.1510083,9.4924791,"56.1510083,9.4924791","sma06bfba9",List29/10-2025,Lav
Lav,192,,Marker,Lav,SilkeborgRanders,N1,Ansvej 48b,Silkeborg,Ansvej 48b N1 Silkeborg,8600,nej,Vejsalt,KsForstas,nej,AlleDage,Aktiv,192,nej,,#FF0000,56.1797448,9.5668181,"56.1797448,9.5668181","sm5b5049f9",List29/10-2025,Lav
Lav,999,,Marker,Lav,Administativ,Ingen,Nørre hvamvej 8,Holstebro,Administrativ prik Lav alle,7500,0,0,0,s,AlleDage,Aktiv,999,,,#FF0000,56.414704,8.7314149,"56.414704,8.7314149","sm3bdce894",List29/10-2025,Lav
